Country,Year,Temperature_Anomaly,CO2_Emissions,Population,Forest_Area,GDP,Renewable_Energy_Usage,Methane_Emissions,Sea_Level_Rise,Arctic_Ice_Extent,Urbanization,Deforestation_Rate,Extreme_Weather_Events,Average_Rainfall,Solar_Energy_Potential,Waste_Management,Per_Capita_Emissions,Industrial_Activity,Air_Pollution_Index,Biodiversity_Index,Ocean_Acidification,Fossil_Fuel_Usage,Energy_Consumption_Per_Capita,Policy_Score,Average_Temperature
Country_93,2014,0.4449537129267353,457908034.0664312,492673179.55060565,72.29535662019074,5192677025763.025,36.72569899314433,1056885.272227612,20.953840381101717,8.529665308296666,55.08210691418638,0.8381154363460469,6,2355.570363300701,2031.3615020821585,94.9829306316452,12.039702958580245,83.8048795021036,216.91142922637377,86.93625634167344,7.647407982446237,61.54838156985284,706.9188091445104,37.67129967816024,15.014084376474816
Country_15,2020,-1.1716164016246489,504950343.3699135,1252168635.677483,17.25968350480491,8252127868700.714,77.54790145710827,1986812.8331658684,45.59959479773063,5.421442408458621,85.54209753479478,2.1100556309793186,1,3671.652898238781,965.10481634063,62.06425026440415,2.853957220354588,47.01426520498831,35.86918206425228,44.90433092172405,7.569353281229523,82.42374957815493,2616.2383243210143,86.58172542667768,-1.277086355784192
Country_88,2014,0.5609262019004411,817427930.3959165,871533769.18446,43.0124898726494,7029642986069.056,80.28080826125688,7876278.73390517,10.1318560519069,3.2730844446465905,89.69294322728355,1.19169347719225,34,4107.6250272643565,2251.737393537248,8.455126272760683,17.83970970929822,85.14898413585145,105.02885825231232,79.83650186106777,8.38129611088589,64.22017071337822,2645.88629676982,95.91383232513296,9.651689820975577
Country_161,2018,-1.7761890943983514,722510613.7394658,1153825983.2368195,70.79560727062159,3439062592683.542,16.768675983964844,446199.46448251046,10.515053905867694,4.750400485452165,43.78293125731071,0.5805705109279302,29,1976.413240874504,1856.652743037512,68.04017813323821,15.705065866158217,85.17615658460205,277.9081401217928,51.47466845521375,8.471651377363427,57.04492604704385,1280.092447434061,4.256841134113931,19.043269735178256
Country_58,2019,0.6550149774771232,515128708.2448653,887824073.2229711,14.319157330739271,8393074899179.668,57.05202458690315,5237285.469193192,21.974672046557075,10.30525956287083,95.7506218050424,2.994692059959497,6,559.526606637228,2235.966489503591,33.577332980389905,17.666407781272,37.44811645076157,252.66832142164,14.452447287211143,7.627174007497106,93.45895505516376,780.8265240556743,96.65473282539485,30.222646437915216
Country_59,2021,-1.7614991068431922,635733325.5251443,1199926119.6690516,18.988664847567804,8652765753782.721,89.82224533344979,5445559.463159385,49.49330400791593,14.9087008837197,51.42861452676279,2.560782328888924,38,886.5590975729228,1071.8437753412322,38.66736428506788,10.958092619253112,51.08236797441831,34.25124994762733,26.085204848579103,8.221928467382435,37.054467780942026,1596.2937530747186,0.9224765021884184,35.8318094366066
Country_21,2023,-0.752683998790042,796590166.1411566,872548819.6382083,37.65770964847047,3806875316022.352,48.78868195708831,8001385.095221435,15.42951101594409,6.3153928267938095,4.413169631898506,1.4142647794331795,10,3975.344196654181,843.2086718566161,3.9639967971160095,9.81403059161212,0.5660711800785423,267.15873338691483,10.44488780219872,8.135904129597613,57.960135891452445,200.37519761843845,17.927578557393677,21.8719009889849
Country_14,2015,-1.5712655960204298,810283827.1695875,15485829.276316885,41.58745538782195,461751679674.67566,94.98981963828382,982081.9647411904,-4.6791864598752735,11.785892125390571,12.76313535194652,2.512960482560328,14,1518.4083450088829,1175.019882051847,90.410612738216,9.25459798565905,9.098642115550517,31.502374378609986,49.699766566436345,8.293949283309477,12.557901049600794,1983.6891468835815,17.31390562593479,38.64590159796376
Country_54,2022,-0.8096901357343138,500901497.1271671,683765415.8004882,68.92367199649061,6403420412209.276,58.41131586059777,4265506.574318619,8.63530935833263,3.4762880373363148,36.80009402631593,0.4557658767715827,16,2253.414447668447,1613.2054175024286,63.19273859005884,4.864725586280976,29.079978725143206,171.72075375769313,18.56726937599631,7.626873414840859,83.71287706107505,4793.718844360956,85.51062246914299,38.38311102840842
Country_45,2015,0.9159632307952864,433342101.4470753,207101364.86946133,99.52539468504786,6732245017163.854,99.1180104920523,7509035.647985988,1.9160294031327731,10.877946156438144,4.11769803987152,1.5571500473221955,39,1176.5463125398542,1716.0340929293943,72.16041352743564,4.951696548642337,65.86049160505297,153.83586271359977,50.73215383592812,8.35668779754522,79.59373586236084,4076.256924845728,72.66520812153968,2.738462727230072
